25 1000
-20 -10 -17
1 -12 -10
16 -15 1
10 19 22
8 20 15
-16 -7 -14
2 -14 -1
9 -14 -5
18 4 23
24 -16 -11
-24 -5 13
-11 -10 23
-24 -8 -18
-5 -18 23
24 -15 7
13 -18 -9
24 1 -21
-23 -14 -3
-16 -13 12
9 -5 15
20 -19 -25
-23 -15 15
19 22 -25
1 -4 21
8 9 -25
8 11 -20
-17 13 15
-15 15 -17
10 13 -17
9 2 -3
-23 -5 1
8 11 14
11 -12 -2
10 -14 20
1 2 19
1 2 -2
11 -12 6
8 19 12
-24 18 6
-7 -10 7
8 4 21
2 10 7
-15 13 -25
18 10 -21
1 -11 14
-22 -17 -25
-5 -3 -10
19 -3 -9
-3 21 -2
-3 -19 15
12 5 -1
25 21 -15
16 10 -9
9 7 -9
9 10 -12
-25 -3 -17
-21 -10 7
-8 -14 -22
-8 25 -21
-20 -11 22
-13 14 7
8 -15 3
-7 13 23
-16 -24 2
10 -6 2
-23 12 -19
10 -5 -3
-6 -13 -19
2 -13 13
24 -12 -19
25 -4 21
-16 8 -20
-22 11 -1
18 -20 12
18 2 -4
-8 -10 7
-19 -21 13
-23 -20 -3
13 -18 -10
-24 11 -9
-6 -13 -20
12 21 6
24 11 -4
17 -3 -7
8 -14 -2
9 19 20
17 -22 4
2 4 6
10 3 14
-24 -23 -2
18 -5 14
-8 24 -3
24 1 21
12 4 -18
2 5 -2
16 -22 22
9 12 -12
17 -3 14
-7 2 -1
17 -20 -3
11 -11 -10
-25 6 -10
-8 17 25
19 4 -1
-6 22 -9
-7 -15 14
-4 14 22
-24 -15 -4
-24 -5 -19
-23 -14 -21
19 -3 22
8 1 17
-23 -12 22
8 4 15
-24 4 12
-23 2 18
-14 -1 23
-22 -21 12
17 -12 6
8 -24 15
-7 19 -20
22 14 -17
-16 3 22
-20 12 -12
18 -12 23
8 -19 22
10 11 15
-6 -5 22
-5 -20 -17
-14 12 22
-8 2 6
2 -21 -18
-8 -7 10
9 -5 -2
12 -20 14
4 -11 15
-24 1 22
8 25 23
-13 4 -25
17 11 20
25 12 -7
-23 -10 -9
-15 -13 -2
18 3 15
-8 23 15
3 -20 6
-23 10 15
-22 10 -20
-6 -5 21
17 12 7
-7 6 -18
24 -20 15
24 2 -2
-22 -12 5
17 4 -1
-6 19 4
16 2 -2
-22 -19 -25
11 -20 -11
18 2 -6
-6 20 7
2 -5 21
-6 -18 -10
-24 25 -12
24 3 22
-8 -15 11
24 -5 -12
10 13 22
-7 -21 -19
-8 -11 22
1 18 -19
-5 -10 6
-23 -21 -3
24 22 7
-23 2 -20
2 -11 -17
-23 19 -2
-7 -3 -17
-16 -13 6
-8 -15 -20
10 19 -11
8 -6 -2
-15 -2 -25
-23 10 3
-7 -6 15
-11 4 -19
17 4 -12
16 -6 -13
-13 -12 -18
1 -22 21
11 20 -9
17 13 1
8 9 -25
-8 -19 7
-5 -9 7
-5 5 7
1 12 -15
10 12 -4
24 -13 -18
-5 -19 -10
-7 11 -11
19 21 -17
8 1 -21
-5 13 6
-20 21 15
10 3 -20
-15 2 5
-8 -11 7
-6 -5 -12
16 -7 -21
1 -4 -1
8 -15 3
-16 -6 -1
24 -3 14
25 -6 -9
-16 19 -2
-9 4 15
8 17 15
16 -23 -21
19 21 -9
9 -3 -10
18 -5 12
-7 -19 14
-16 3 -1
1 2 12
-15 -20 5
25 -5 22
-14 20 -12
-23 -22 -7
15 4 -9
-21 -20 -4
17 -6 14
1 19 22
-16 3 6
9 2 -18
-23 -22 -18
12 20 -17
1 -4 -19
3 11 -5
25 -21 -3
8 2 -11
-14 -13 21
9 18 7
-3 13 9
19 -12 -19
21 3 -3
-22 -3 7
-24 19 -17
7 -2 15
-11 13 -2
9 22 23
7 -18 -17
-23 5 -7
16 -7 -20
-16 -20 7
-13 20 -4
4 6 15
-20 12 14
24 17 25
3 13 -13
-8 -3 -10
-14 -22 15
-13 20 -1
16 -15 -5
-23 -2 -9
-22 -12 7
25 20 13
-8 -6 -22
-17 -20 15
-7 -12 -3
17 7 -25
4 -3 -2
25 19 -17
-8 -23 -11
-16 -15 19
-20 14 6
25 2 3
-21 -20 -17
16 11 -20
9 10 -25
-5 6 -10
3 11 -10
-12 6 15
-5 20 -13
19 3 -10
-24 -2 -25
-23 -2 15
18 19 -3
-8 17 -3
-16 -15 -12
9 -21 20
-24 22 -17
-12 -2 -17
5 6 -18
-16 24 11
9 3 13
10 -22 5
18 -2 15
-24 17 -9
10 -6 -2
23 13 -17
-20 12 -18
-22 12 5
8 -24 -25
24 21 23
-12 -4 -2
1 10 22
3 22 -25
10 -4 21
8 18 -18
-14 -11 -9
-22 3 14
-16 17 -22
8 1 -18
-8 -12 7
1 -3 17
-6 20 23
19 -12 -5
3 -18 7
-20 -2 -25
-16 10 13
-16 24 10
-20 -19 -17
-12 5 22
25 19 -7
25 -14 13
-7 10 -4
-16 -7 20
-8 -23 5
16 25 -14
-5 13 6
-8 9 14
8 2 15
8 17 -7
9 4 -23
-16 -20 -17
-8 -23 12
-13 -4 -17
-6 3 22
16 25 -18
18 3 21
-16 -6 20
-19 -3 6
16 -13 6
8 -20 20
-7 -5 -10
18 11 15
10 12 13
-5 -1 -9
11 -17 15
-24 10 -17
-7 -19 17
8 25 2
25 -13 1
18 -3 -2
1 2 -3
12 -10 23
-20 4 -9
8 -9 -17
2 12 -10
5 -3 22
25 -14 -2
-6 -21 21
12 21 15
10 -13 -4
-24 -3 -2
9 -20 12
-7 -20 -19
25 3 23
-15 10 12
-7 -21 13
9 20 -19
24 -16 -18
-24 -20 21
24 -18 -9
-5 -4 -10
24 21 14
-16 17 -4
24 3 -17
9 10 25
-15 -5 -23
-7 10 19
19 -10 -17
-14 19 20
3 19 -10
19 3 21
2 18 -6
18 -21 4
-24 11 -19
-6 2 20
20 -4 5
3 21 23
1 -25 -17
3 -20 -3
-23 -15 -9
17 20 14
11 12 -25
-16 -5 14
-15 18 13
-15 -4 -25
1 -20 -10
-8 22 7
25 -14 -9
8 -13 -11
-13 4 15
-8 18 -9
-16 21 14
25 -5 -15
15 13 23
-14 -9 -17
-22 -4 -2
-7 -4 5
3 11 -25
-16 -18 7
17 -1 23
18 3 15
8 -7 -25
-7 19 14
-13 4 -3
-21 6 -9
5 -2 -18
5 -19 6
11 -3 6
-7 -21 1
9 22 17
-11 21 -18
17 -23 7
-6 12 -17
-9 -17 -25
2 10 -20
8 -16 -21
-6 20 13
-17 6 15
-5 -1 15
-5 -18 -1
17 10 -4
11 20 -3
1 -9 -25
-16 11 12
-19 12 -3
-24 -18 -17
-22 11 -20
-24 1 -22
-24 11 20
9 19 -11
24 -8 5
-16 21 -1
-15 -12 -9
24 15 23
24 -14 23
-12 4 -3
2 10 -21
-15 20 17
16 -20 14
-22 -4 21
-19 12 -12
-15 18 -21
-13 -12 20
11 14 7
24 -22 -2
-19 22 -2
3 -12 20
17 13 21
-24 -23 -12
-13 -18 15
16 -15 23
12 22 -9
19 -20 23
-13 4 -17
8 18 -11
24 9 4
5 10 21
18 -21 4
-8 -23 -11
-8 3 6
-15 11 -21
-8 1 3
-15 10 -21
16 9 -18
-15 -4 -18
17 -1 14
-8 10 20
-13 -10 23
16 4 14
-14 2 21
-6 3 22
10 -2 -10
-8 -4 -25
-20 -2 -1
-8 -21 -2
24 -23 -21
-22 19 6
12 14 -25
-14 -11 -10
25 -14 -21
-8 9 -21
-13 21 -1
8 -18 7
-7 -22 -25
9 18 4
-22 4 -11
-16 12 22
3 -15 -5
-17 22 23
1 19 25
-23 -21 4
17 -13 4
3 4 -19
8 10 14
-23 21 9
16 18 11
20 -1 -25
24 9 -4
-14 11 -19
24 -14 -4
-15 2 -2
24 11 4
-22 22 14
-7 3 21
-24 9 -4
16 -14 20
18 21 -3
19 7 -21
3 -11 15
-15 -21 6
17 -1 1
10 -12 -2
-7 -4 5
8 -15 -12
10 -5 -2
16 -15 -5
-24 -7 20
3 -9 -21
-24 6 -17
-24 -5 -19
-8 -13 22
-10 -2 7
-8 -15 -3
1 13 -19
2 21 -2
-15 12 -10
-24 24 5
-21 20 5
8 19 -20
5 -21 -3
8 -14 -6
-16 -11 23
-24 -8 -13
8 19 4
-7 3 21
20 -2 -10
25 -22 3
10 -12 -19
-11 -2 15
-14 2 21
24 -22 -21
-16 2 20
-16 25 -10
-15 -21 -11
16 19 -20
8 -8 19
9 -4 12
17 10 22
-16 -8 15
-15 20 4
-24 24 7
16 -21 -12
-15 -14 19
-8 -15 6
-5 6 -9
1 -4 5
-8 -7 18
1 -20 15
-3 6 23
-6 -20 13
-12 21 -17
18 -13 -1
16 17 -2
11 21 6
-16 21 -11
-8 -6 7
-7 -21 -25
17 -22 -20
17 2 -1
21 18 -3
-20 5 6
3 22 14
-7 -14 19
16 3 13
-7 -2 9
-12 -4 -25
1 19 -2
8 -2 -17
2 6 -1
-7 14 -25
-21 -1 15
-11 -4 13
-23 -19 14
20 -19 -9
2 -20 -25
-22 -18 7
17 -23 22
21 -18 15
-24 2 -21
16 25 -20
17 -18 1
-24 -11 -19
-6 -4 -1
8 22 -18
-7 -5 -25
-22 11 4
16 25 14
-7 19 23
10 -11 -18
19 11 -1
-14 -13 23
-16 -23 10
25 -12 -15
-7 -4 4
-6 20 15
17 2 -3
-24 -12 13
-13 -19 -2
-21 -4 -10
-16 -19 -18
-16 -14 -3
17 2 -4
-13 20 -3
2 12 5
25 10 18
16 10 20
25 -11 -3
-13 11 15
17 11 14
10 -22 22
-22 4 12
24 1 -10
-8 18 12
-22 -1 23
10 2 5
20 13 22
-6 -4 -11
-7 -14 5
1 -11 -10
16 17 10
-12 -19 14
8 1 -6
-23 -13 -2
24 9 -2
-7 12 -23
-23 3 -13
-7 19 22
-7 21 9
9 21 -10
-6 11 -4
25 13 15
3 -20 -18
25 19 -17
-4 -19 22
1 -4 17
9 20 -25
12 -18 7
18 3 -4
-23 -7 -18
17 -22 9
-5 12 -13
1 -20 12
-24 -21 -10
-15 21 23
-7 -14 6
-14 21 -3
24 2 20
-24 -15 -19
